Employee ID,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Months
fffe32003000360033003200,Female,Service,No,2,3.0,3.8,0.16,40
fffe3700360033003500,Male,Service,Yes,1,2.0,5.0,0.36,38
fffe32003400380032003900,Male,Service,Yes,1,1.0,2.6,0.2,38
fffe31003900340031003600,Female,Service,No,3,7.0,6.9,0.52,42
fffe3300350037003500,Male,Product,Yes,2,4.0,3.6,0.29,38
fffe33003300340039003100,Female,Service,No,3,6.0,7.9,0.62,48
fffe32003600320037003400,Female,Service,Yes,2,4.0,4.4,0.33,39
fffe33003100330032003700,Male,Product,Yes,2,3.0,5.3,0.5,46
fffe3400310035003800,Male,Service,Yes,0,1.0,1.8,0.12,44
fffe33003100330036003300,Male,Product,Yes,1,3.0,5.8,0.51,44
fffe31003700350033003100,Female,Service,Yes,3,5.0,4.7,0.32,47
fffe33003200360037003000,Male,Service,Yes,1,2.0,5.9,0.39,46
fffe31003500350030003400,Male,Service,No,3,6.0,6.7,0.59,46
fffe31003000380035003800,Female,Product,Yes,2,4.0,4.0,0.22,44
fffe31003300360039003000,Male,Product,No,2,4.0,7.6,0.57,41
fffe32003700370038003300,Male,Service,Yes,1,3.0,6.3,0.47,48
fffe31003800390035003300,Male,Service,Yes,1,3.0,6.7,0.46,44
fffe3200340036003400,Male,Service,No,2,4.0,6.6,0.44,39
fffe3600330034003600,Female,Service,No,2,4.0,7.4,0.6,40
fffe31003600310031003600,Female,Service,No,2,5.0,6.7,0.46,40
fffe32003300340037003400,Female,Product,Yes,1,2.0,3.6,0.2,44
fffe3500380031003000,Female,Service,Yes,1,2.0,3.9,0.2,37
fffe32003400340039003400,Female,Service,No,0,1.0,3.0,0.19,39
fffe31003500310034003800,Male,Service,No,1,3.0,4.7,0.31,46
fffe32003700310030003800,Male,Product,No,4,8.0,8.7,0.81,44
fffe32003800300036003300,Male,Service,Yes,3,5.0,4.4,0.39,41
fffe390036003000,Female,Service,Yes,3,6.0,5.8,0.42,42
fffe32003700390039003300,Female,Product,Yes,0,2.0,3.9,0.19,43
fffe32003500390036003500,Female,Service,Yes,3,7.0,6.6,0.56,45
fffe33003400390030003300,Female,Service,No,4,7.0,7.3,0.53,39
fffe3800360036003400,Female,Product,Yes,1,3.0,5.4,0.33,43
fffe33003200380030003900,Male,Service,No,2,5.0,5.0,0.45,47
fffe31003800370038003900,Female,Service,Yes,2,3.0,6.0,0.36,43
fffe31003700330031003000,Female,Service,Yes,3,6.0,7.5,0.59,37
fffe32003300380035003700,Male,Service,No,4,10.0,10.0,0.94,45
fffe32003700300034003600,Female,Product,Yes,1,3.0,6.0,0.37,41
fffe31003500390030003200,Male,Service,No,2,6.0,7.4,0.65,46
fffe31003500360032003800,Female,Service,Yes,2,5.0,6.4,0.49,42
fffe32003100320039003700,Male,Service,Yes,1,3.0,5.6,0.38,48
fffe31003200340033003100,Male,Product,No,2,5.0,7.4,0.62,39
fffe33003100340034003900,Female,Product,Yes,3,5.0,6.1,0.39,40
fffe32003100340032003800,Female,Product,Yes,2,4.0,3.1,0.15,44
fffe380030003100,Male,Service,No,2,5.0,8.0,0.61,37
fffe3900310031003800,Female,Product,No,1,2.0,4.0,0.26,45
fffe3200390030003200,Female,Service,No,2,2.0,3.6,0.28,37
fffe3800370031003300,Male,Product,Yes,2,5.0,8.7,0.71,47
fffe33003200310034003500,Female,Service,No,3,5.0,6.8,0.57,48
fffe32003200310030003200,Female,Service,Yes,2,3.0,4.9,0.39,38
fffe3300300031003100,Female,Product,No,3,6.0,7.9,0.61,40
fffe33003300310030003900,Male,Product,No,3,6.0,7.6,0.62,43
fffe31003200340034003500,Female,Service,No,5,9.0,9.2,0.8,47
fffe32003400320036003200,Male,Service,Yes,4,6.0,6.5,0.63,44
fffe3600330031003200,Female,Service,No,3,5.0,6.8,0.6,41
fffe31003300330034003700,Female,Product,No,4,8.0,8.7,0.79,39
fffe3600330032003400,Male,Service,Yes,2,5.0,6.2,0.39,41
fffe3500300037003900,Female,Service,No,3,5.0,5.8,0.36,48
fffe33003400360037003500,Female,Product,No,2,4.0,6.6,0.5,42
fffe32003500310039003700,Male,Product,No,4,7.0,8.2,0.72,40
fffe32003600370032003500,Female,Service,Yes,2,3.0,4.9,0.34,42
fffe3200350037003200,Female,Service,No,1,2.0,4.1,0.27,47
fffe3800390036003200,Male,Service,No,3,7.0,7.4,0.66,41
fffe33003300360032003700,Male,Service,Yes,1,2.0,4.4,0.27,44
fffe32003600360039003700,Female,Service,No,2,6.0,6.9,0.67,38
fffe3200360031003700,Female,Product,Yes,1,2.0,5.3,0.38,39
fffe33003300350036003100,Female,Service,Yes,2,2.0,4.3,0.28,46
fffe31003600360039003900,Male,Product,Yes,0,1.0,0.8,0.05,40
fffe31003500340038003100,Female,Service,Yes,2,4.0,2.9,0.22,46
fffe32003400320034003800,Female,Service,Yes,1,3.0,5.0,0.39,46
fffe31003300310036003300,Male,Service,Yes,1,4.0,6.9,0.52,44
fffe33003100300031003200,Female,Service,No,3,5.0,4.7,0.39,40
fffe31003300310037003900,Female,Service,No,1,3.0,2.0,0.11,47
fffe3300300036003900,Female,Service,No,2,4.0,5.4,0.44,40
fffe3300360039003000,Male,Product,No,2,5.0,6.1,0.5,42
fffe3500340030003800,Female,Product,Yes,1,4.0,5.1,0.41,39
fffe340035003800,Female,Service,Yes,3,5.0,4.7,0.43,45
fffe31003700300036003800,Male,Service,Yes,3,5.0,5.4,0.46,39
fffe32003900320033003900,Female,Service,No,4,7.0,9.1,0.85,48
fffe380031003300,Male,Service,Yes,1,3.0,5.0,0.35,48
fffe33003200330030003500,Male,Product,No,1,1.0,0.0,0.0,46
fffe33003300390037003700,Male,Product,Yes,2,4.0,4.3,0.34,46
fffe32003500370036003100,Female,Product,No,2,5.0,5.7,0.55,39
fffe33003200300033003500,Male,Service,Yes,4,6.0,6.8,0.62,38
fffe32003500370037003600,Male,Service,No,3,6.0,7.6,0.72,41
fffe32003400380030003100,Male,Product,Yes,3,8.0,8.3,0.71,38
fffe32003800330033003400,Female,Product,No,1,3.0,5.5,0.39,41
fffe32003500360037003200,Female,Service,No,1,3.0,5.3,0.48,43
